text,re_labelled,predicted_label,confidence
"@thorxxrahman Enggeh leres masuk kec.Ngaglik, mungkin rodo ngantuk kui sik gawe berita",HAM,ham,0.9996930360794067
Personil Polres mukomuko melaksanakan Sosialisasi kepada masyarakat agar tetap waspada dan mengingatkan agat mencabut kunci kendaraan di saat memarkir kendaran di pinggir jalan dan melaporkan apabila ada kejahatan jalanan lainnya https://t.co/oP3i2i95LG,HAM,ham,0.9988571405410767
ga enaknya rumah pinggir jalan besar + ada bayi tuh ya motor blombongan wira wiri gatau diri huhhh,HAM,ham,0.9956814050674438
@KangManto123 Berarti pengusaha knalpot brong juga berhak utk berjualan bahu-membahu dgn pengusaha sound horeg ya?,HAM,ham,0.9990691542625427
@zeynixxtflhn Beli knalpot blombongan ga?,HAM,ham,0.999579131603241
"5 Top Stories! Wagub Krisantus Prihatin, Truk Tangki BBM Terbalik, Tangkap Jambret Pontianak Timur
 
https://t.co/gAGSSRuVxh lewat @tribunnews",HAM,ham,0.9984521865844727
"09.39: Terjadi kecelakaan truk box di Tol Kunciran Serpong KM 21, dalam penanganan petugas lalu lintas terpantau padat. (P. Hadi) 
#InfoLalinElshinta https://t.co/LTOxHah348",HAM,ham,0.9991039633750916
Mari berkontribusi terhadap gerakan rakyat dengan membeli baju ini seharga Rp 160.000. Berikut format pemesanannya:  Nama: Alamat: Nomor WA: Ukuran:  Hubungi kami melalui WA 08977472296  *Harga di atas di luar ongkos kirim*,SPAM,spam,0.9415147304534912
"Almarhum dimakamkan Minggu, 25 Mei 2025 pukul 17:00 WIB di Sangonan, Sidorejo, Godean, Sleman????",HAM,ham,0.9949023723602295
"Masuk terlalu pagi juga bikin keadaan dirumah ricuh, semua harus dilakukan dengan cepat tau2 kecelakaan (riil terjadi oleh w), apalagi yg jarak rumah ke sekolah seperti mendaki gunung melewati sungai dan terbang ke langit harus berangkat lebih pagi itu??",HAM,ham,0.9986750483512878
"""NANTI AJA"" adalah ucapan selamat hari HAM dari seorang mentri bidang HUKUM HAM!",HAM,ham,0.9979713559150696
Ning jero remuk koe lekk..?? https://t.co/Psm6LX7cCQ,HAM,ham,0.9972620010375977
@ajusttinna Balsem sak awak,HAM,ham,0.9996204376220703
Kegiatan personil Polsek Binjai Timur melaksanakan Patroli roda empat malam hari di titik dianggap rawan terjadinya tindak pidana 3C dan kejahatan jalanan lainnya dalam rangka antisipasi gangguan kamtibmas. https://t.co/mIjzaR9Uiz,HAM,ham,0.9990823268890381
Gimana nih rencana aksi di tanggal 1 Mei? Coba share dong info aksi di kota kalian #MeiMelawan,HAM,ham,0.9973491430282593
"Sudahi romantisme reformasimu, Mari kita turun ke jalan! #MEILAWAN https://t.co/ryLbf1QvOH",HAM,ham,0.9996488094329834
"@KAI121 Naik bareng berlima dari Jember turun di Surabaya sekalian transit berkunjung ke kediaman teman1 Surabaya, berempat lanjut naik KA ekonomi menuju Jogja terus jalan di Malioboro, teman3 lanjut naik KA ekonomi ke Jakarta, sedangkan saya kembali ke Klaten KA sapu jagat dari Jakarta",HAM,ham,0.9959626793861389
"Sewa Rumah Dekat UNY Yogya Malioboro 15mnt Plembura Harian Bulanan Mingguan Rmahan Luas 2KT Keluarga 300rb 1 rumah 2 KT 2 KM

WA https://t.co/Gs4wck2Euz
.
#penginapandekatUNY,  #homestaykeluargajogja,  #homestayrombonganjogja, #homestayjogjamurah, #homestayjogja https://t.co/ckEwDfGnRk",SPAM,spam,0.9736872911453247
"Penggunaan knalpot brong sangat menggangu ketertiban umum.

Jadilah pelopor keselamatan berlalulintas. Taati peraturan yang berlaku

#stopknalpotbrong https://t.co/AlqbV50n4W",HAM,ham,0.9977027773857117
Udan ning yojo kadang mung fana https://t.co/XnEUkg4Ehu,HAM,ham,0.9988558292388916
"Jumat, 18 Juli 2025, Samapta Polsek Ngaglik melaksanakan patroli sambang warga Mudal jalan palagan sariharjo sekaligus menyampaikan pesan kamtibmas, tertib berlalu lintas serta antisipasi gangguan Kamtibmas, Curat, Curas, Curan dan kejahatan jalanan di wilayah Ngaglik. https://t.co/qfHXpPH4Nz",HAM,ham,0.999077320098877
Selamat 13 tahun @CAPITALE_1976 !?? https://t.co/qCj3dgQHZw,HAM,ham,0.9979177117347717
"terjadinya curat, curas dan curanmor serta kejahatan jalanan. Kamis, 17/07/2025.

POLRI UNTUK MASYARAKAT

@poldajogja
#PoldaDIY #KapoldaDIY #Kapolrestasleman #polrestasleman #polsekprambanandiy #patroliKRYD #patrolijogja #jogjaaman #jogjadamai #jogjanyaman #OpsPatuhProgo2025",HAM,ham,0.9905688166618347
"Polsek Kedamean Laksanakan Patroli Dialogis, Wujudkan Keamanan dan Kedekatan dengan Masyarakat, antisipasi gesekan antar perguruan silat dan kejahatan jalanan (17/07/2025) #polriuntukmasyarakat https://t.co/uMLN3kyfmV",HAM,ham,0.9992582201957703
@TaniHitam Omelin bang,HAM,ham,0.999527096748352
"@merapi_uncover Mben esuk neng sepanjang jl mangkubumi ro jl malioboro do akwh tukang foto dadakan, le di foto cewek2 sek do lari2 pagi, lha nrk wong lanang ra tau di foto ??",HAM,ham,0.9965387582778931
"@merapi_uncover Saya juga heran, dgn fenomena ini, banyak sekali di Jl MargoUtomo sampai Malioboro, dulu hanya lesehan, pakai dingklik, sekarang saking effortnya sampai pakai tangga segala.",HAM,ham,0.9992519021034241
"ini pasti kluargany sadewa ada yg tabrak lari
atau ga sisadewany yg nabrak??",HAM,ham,0.999186098575592
"09.41: Info awal #kecelakaan di depan Pasar Jalan Jagir Wonokromo arah Panjang Jiwo. Belum diketahui kendaraan apa saja yang terlibat. Bambang pendengar SS mengabarkan, ada korban laki-laki tergeletak dan sudah dibantu dipinggirkan oleh warga sekitar. Petugas medis sedang perjalanan menuju lokasi. Data lengkap belum diketahui. (ss-rn)",HAM,ham,0.998961329460144
